Sampling_Date;Site;Sample;BorN;Substrate_ID;PrSub;Status;Frequency;ALength;Age;Substrate_Type;Position;Drill
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;6;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;15;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;15;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;15;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;empty_test;1;13;7;primary;primary;1
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;empty_test;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;live_barnacle;1;2;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;1
14.07.2010;1;2010-1;6;2113;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;4;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;6;2;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;3;10;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;8;primary;primary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;7;primary;primary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;2;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;6;primary;primary;1
14.07.2010;1;2010-1;6;2115;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;5;1;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;1.5;1;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;3;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;9;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;2;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;empty_test;1;4;1;primary;primary;1
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;0.7;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;5;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;0.8;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;0.8;0;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;2;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;6;2;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;2;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;2;4;1;other;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;2;other;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;8;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;1
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;6;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;2;12;6;primary;primary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;2;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;2;4;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2116;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;empty_test;7;0.9;0;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;empty_test;2;1;1;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;empty_test;1;8;4;primary;primary;1
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;empty_test;3;1;0;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;5;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;5;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;4;8;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;4;primary;primary;0
14.07.2010;1;2010-1;6;2117;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;empty_test;1;2;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;3;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;3;12;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;3;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;5;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;4;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;2;12;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;primary;primary;1
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;5;primary;primary;0
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;5;primary;primary;0
