"Box","L","Sp","Outcome"
3,18.7,"Tr","not_eaten"
3,29.6,"Ed","not_eaten"
3,18.4,"Ed","not_eaten"
3,31.2,"Tr","not_eaten"
3,15.5,"Tr","not_eaten"
3,32.5,"Tr","not_eaten"
3,33.2,"Tr","not_eaten"
3,21.5,"Ed","not_eaten"
3,21.8,"Ed","not_eaten"
3,20.1,"Ed","not_eaten"
3,24.3,"Ed","not_eaten"
3,23.9,"Ed","not_eaten"
3,23.2,"Ed","not_eaten"
3,18.1,"Ed","not_eaten"
3,21.1,"Ed","not_eaten"
3,17,"Tr","not_eaten"
3,15.4,"Tr","eaten"
3,16.1,"Tr","eaten"
3,17.7,"Tr","eaten"
3,31,"Ed","eaten"
3,20.5,"Tr","eaten"
3,20.5,"Ed","eaten"
3,25.4,"Ed","eaten"
3,31.4,"Tr","eaten"
3,19.3,"Tr","eaten"
3,15.6,"Tr","eaten"
3,23.6,"Ed","eaten"
4,18.5,"Ed","not_eaten"
4,22.9,"Ed","not_eaten"
4,19.7,"Ed","not_eaten"
4,31.8,"Ed","not_eaten"
4,34.7,"Ed","not_eaten"
4,34.6,"Ed","not_eaten"
4,32.5,"Ed","not_eaten"
4,29.6,"Ed","not_eaten"
4,31.5,"Ed","not_eaten"
4,31.5,"Ed","not_eaten"
4,31.2,"Ed","not_eaten"
4,24,"Tr","not_eaten"
4,26.3,"Ed","not_eaten"
4,30.9,"Ed","not_eaten"
4,28.3,"Ed","not_eaten"
4,25.2,"Ed","not_eaten"
4,31.2,"Ed","not_eaten"
4,32.5,"Tr","not_eaten"
4,32.2,"Tr","not_eaten"
4,20.3,"Ed","not_eaten"
4,30.4,"Tr","not_eaten"
4,20.2,"Ed","not_eaten"
4,18.8,"Tr","not_eaten"
4,30.2,"Ed","not_eaten"
4,26.5,"Ed","not_eaten"
4,19.3,"Ed","not_eaten"
4,31.6,"Ed","not_eaten"
4,33.1,"Ed","not_eaten"
4,26.3,"Tr","not_eaten"
4,31.6,"Tr","not_eaten"
4,21,"Tr","not_eaten"
4,19.3,"Ed","not_eaten"
4,23.3,"Ed","not_eaten"
4,23.9,"Ed","not_eaten"
4,29.8,"Tr","not_eaten"
4,26.9,"Ed","not_eaten"
4,16.6,"Tr","not_eaten"
4,18.3,"Ed","not_eaten"
4,20.8,"Ed","not_eaten"
4,18,"Tr","not_eaten"
4,17.8,"Ed","not_eaten"
4,18.9,"Ed","not_eaten"
4,28.3,"Ed","not_eaten"
4,22.2,"Ed","not_eaten"
4,21,"Ed","not_eaten"
4,19.7,"Ed","not_eaten"
4,33.5,"Tr","not_eaten"
4,34.5,"Tr","not_eaten"
4,26.4,"Ed","not_eaten"
4,30.4,"Ed","not_eaten"
4,27.8,"Ed","not_eaten"
4,27.6,"Ed","not_eaten"
4,23.6,"Ed","not_eaten"
4,27.6,"Ed","not_eaten"
4,18.1,"Ed","not_eaten"
4,25.8,"Ed","not_eaten"
4,31.3,"Tr","not_eaten"
4,16.3,"Ed","not_eaten"
4,32.2,"Tr","not_eaten"
4,34.9,"Ed","not_eaten"
4,34,"Ed","not_eaten"
4,23.7,"Ed","not_eaten"
4,33,"Ed","not_eaten"
4,22.4,"Ed","not_eaten"
4,28.9,"Tr","not_eaten"
4,22.3,"Ed","not_eaten"
4,29.4,"Ed","not_eaten"
4,30,"Ed","not_eaten"
4,23.7,"Ed","not_eaten"
4,24.7,"Ed","not_eaten"
4,17.5,"Tr","not_eaten"
4,20.3,"Ed","eaten"
4,25.4,"Ed","eaten"
4,21.1,"Tr","eaten"
4,17.1,"Tr","eaten"
4,18.9,"Ed","eaten"
4,16.2,"Tr","eaten"
4,29.9,"Ed","eaten"
