population;L;Z;structure
umba_f;15.9;0;0.933
umba_f;19.1;0;0.923
umba_f;36.6;0.925;0.161
umba_f;41.2;0.884;0.047
umba_f;34.6;0.854;0.01
umba_f;25.5;0;0.989
umba_f;11.1;0;0.969
umba_f;10.4;0;0.988
umba_f;12;0;0.99
umba_f;27.6;0;0.52
umba_f;27;0.625;0.013
umba_f;28.6;0;0.99
umba_g;27.9;0;0.988
umba_g;37.7;0.811;0.011
umba_g;44.1;0.888;0.011
umba_g;33.1;0;0.989
umba_g;40.9;0.678;0.011
umba_g;33.2;0;0.99
umba_g;37.9;0;0.989
umba_g;39.4;0;0.989
umba_g;42.4;1;0.014
umba_g;42.2;0.82;0.011
umba_g;41.1;0.824;0.011
umba_g;46.5;1;0.329
umba_g;47.6;0.862;0.014
umba_g;51.4;0.903;0.014
umba_g;41.1;1;0.014
umba_g;47.7;0.93;0.011
umba_g;45.2;0.953;0.011
umba_g;33.9;0.808;0.011
umba_g;43.9;1;0.014
umba_g;38.2;0.975;0.989
umba_g;53.3;1;0.011
chupa_f;28.9;0;0.989
chupa_f;32.2;1;0.398
chupa_f;33.6;0;0.913
umba_f;15.9;0;0.989
umba_f;16.5;0;0.99
umba_f;23.2;0;0.989
umba_f;24.6;0;0.989
umba_f;26.2;0;0.99
umba_f;38.9;0.861;0.395
umba_f;16.7;0.41;0.99
umba_f;27.9;0.667;0.059
umba_f;22.9;0;0.989
umba_f;34.2;0.774;0.047
umba_f;35;0.838;0.011
umba_f;20.2;0.372;0.989
umba_f;27.9;0;0.989
umba_f;34.7;0;0.479
umba_f;33.8;0.528;0.222
umba_f;33.5;0;0.99
umba_f;37.9;0.958;0.011
umba_f;37.5;0.919;0.01
umba_f;39.1;0.713;0.01
umba_f;20.2;0;0.989
umba_f;21.5;0.506;0.989
umba_f;19.5;0;0.859
umba_f;31.8;0;0.973
umba_f;38.7;0.706;0.012
umba_f;21;0;0.99
umba_f;22.4;0;0.99
umba_f;25.2;0;0.974
umba_f;55.5;0.685;0.011
umba_f;38.1;0.844;0.043
umba_f;15.4;0;0.734
umba_f;29.2;0;0.99
umba_f;31.1;0;0.976
umba_f;41.3;1;0.013
umba_f;48.1;0.883;0.012
umba_f;20.3;0;0.989
umba_f;28.4;0;0.989
umba_f;25.1;0;0.972
umba_f;32.2;0.731;0.011
umba_g;30;1;0.013
umba_g;45.3;0.746;0.011
umba_g;50.9;1;0.522
umba_g;47.4;1;0.042
umba_g;53.2;1;0.011
umba_g;49.3;0.844;0.99
chupa_g;14.2;0.593;0.99
chupa_g;16.5;0;0.99
chupa_g;17.8;0;0.99
chupa_g;17.2;1.026;0.011
chupa_g;16.6;0.861;0.989
chupa_g;17.3;0.829;0.916
chupa_g;14.7;0.635;0.989
chupa_g;18.4;0.769;0.524
chupa_g;14.5;0.934;0.011
chupa_g;13.5;0;0.986
chupa_g;17.5;0.458;0.99
chupa_g;11.9;0.7;0.011
chupa_g;15.6;0.517;0.99
chupa_g;12;1;0.016
chupa_g;18.8;0.875;0.011
chupa_g;12;0.444;0.734
chupa_g;19.7;1;0.01
chupa_g;18.4;0.547;0.942
chupa_g;34.2;0;0.907
chupa_g;35.7;0.912;0.607
chupa_f;27;0;0.976
chupa_f;16.9;0;0.99
chupa_f;18;0;0.989
chupa_f;19.3;0;0.874
chupa_f;32.1;0.966;0.011
chupa_f;15.2;0;0.99
chupa_f;21.2;0;0.99
chupa_f;23.7;0;0.988
chupa_f;25.5;0;0.99
chupa_f;24;0;0.666
chupa_f;17.7;0;0.99
chupa_f;18;0.493;0.985
chupa_f;14.8;0.603;0.985
chupa_f;11.4;0.532;0.989
chupa_f;13.5;0.552;0.989
chupa_f;13.9;0;0.99
chupa_f;35.3;0;0.989
chupa_f;28.1;0;0.973
chupa_f;20.7;0;0.984
chupa_f;20.8;0;0.827
chupa_f;17.4;0.571;0.99
chupa_f;17.5;0;0.593
chupa_f;14.8;0.415;0.969
chupa_f;13.8;0.636;0.976
chupa_f;18.4;0;0.976
chupa_f;15.5;0;0.99
chupa_f;14.7;0.811;0.989
chupa_f;13;0.46;0.846
chupa_f;11.7;0;0.971
chupa_f;11.5;0;0.976
chupa_f;8.5;0.5;0.99
chupa_g;33.7;1;0.398
chupa_g;33.1;1;0.01
chupa_g;18.3;0;0.042
chupa_g;23.2;1;0.976
chupa_g;26.1;0.891;0.497
chupa_g;29;1;0.011
chupa_g;25.4;1;0.011
chupa_g;31.2;1.027;0.011
chupa_g;18.6;0.5;0.011
chupa_g;17.9;0.733;0.94
chupa_g;19.2;1;0.941
chupa_g;35.5;0.987;0.809
chupa_g;29.5;0.808;0.089
chupa_g;37.1;1;0.044
chupa_g;34.1;0.938;0.041
chupa_g;11.2;0.682;0.011
chupa_g;21.7;0.947;0.988
chupa_g;23.4;1.022;0.932
chupa_g;31.3;0;0.976
chupa_g;38.9;1;0.989
chupa_g;41.5;0.927;0.018
