Year;Bank;Sample;Recruits;Small;Large
2001;vor5;3;4;44;56
2001;vor5;4;6;21;40
2001;vor5;5;18;73;39
2001;vor5;6;1;69;47
2002;vor5;1;11;44;49
2002;vor5;2;11;23;59
2002;vor5;3;15;35;55
2002;vor5;4;21;54;45
2002;vor5;5;12;42;48
2002;vor5;6;7;10;37
2003;vor5;1;17;18;50
2003;vor5;2;9;29;37
2003;vor5;3;15;30;46
2003;vor5;4;91;52;37
2003;vor5;5;83;44;8
2003;vor5;6;29;69;35
2004;vor5;1;7;44;35
2004;vor5;2;24;67;42
2004;vor5;3;12;73;61
2004;vor5;4;11;33;38
2004;vor5;5;16;66;45
2004;vor5;6;4;86;33
2005;vor5;1;24;59;45
2005;vor5;2;22;111;66
2005;vor5;3;17;62;25
2005;vor5;4;14;29;41
2005;vor5;5;26;41;44
2005;vor5;6;36;53;45
2006;vor5;1;4;30;29
2006;vor5;4;22;21;36
2006;vor5;7;26;57;35
2006;vor5;10;11;18;26
2006;vor5;13;32;25;26
2006;vor5;16;6;18;49
2007;vor5;1;4;14;25
2007;vor5;2;7;28;53
2007;vor5;3;47;84;37
2007;vor5;4;8;43;39
2007;vor5;5;11;48;41
2007;vor5;6;10;24;40
2008;vor5;1;260;39;30
2008;vor5;2;88;45;29
2008;vor5;3;45;19;53
2008;vor5;4;26;39;52
2008;vor5;5;94;35;35
2008;vor5;6;119;38;43
2009;vor5;1;36;38;36
2009;vor5;2;18;26;37
2009;vor5;3;39;43;33
2009;vor5;4;67;44;7
2009;vor5;5;10;34;50
2009;vor5;6;31;88;28
2010;vor5;1;17;55;35
2010;vor5;2;5;41;35
2010;vor5;3;27;25;15
2010;vor5;4;18;61;28
2010;vor5;5;27;26;19
2010;vor5;6;33;39;32
2011;vor5;1;102;51;27
2011;vor5;2;21;33;42
2011;vor5;3;42;71;48
2011;vor5;4;77;48;21
2011;vor5;5;119;30;40
2011;vor5;6;102;57;38
